month,Unnamed: 0,bank_name,inward_interbank_volume,inward_costumer_volume,inward_total_volume,inward_percentage_volume,inward_interbank_amt,inward_costumer_amt,inward_total_amt,inward_percentage_amt,outward_interbank_volume,outward_costumer_volume,outward_total_volume,outward_percentage_volume,outward_interbank_amt,outward_costumer_amt,outward_total_amt,outward_percentage_amt,outward_inward_ratio
2008-06-01,0,Abhyudaya Co-Operative Bank Ltd,57,174,231,0.03,70317.54,3446.85,73764.39,0.03,158,298,456,0.06,76139.11,6285.18,82424.29,0.03,1.1173994660567246
2008-06-01,1,Abn Amro Bank N.V.,1713,7501,9214,1.17,2352462.46,1761383.86,4113846.32,1.58,2282,6200,8482,1.08,2504690.56,1584606.96,4089297.52,1.57,0.9940326404803571
2008-06-01,2,Abu Dhabi Commercial Bank Pjsc,61,118,179,0.02,26511.03,29323.51,55834.54,0.02,86,256,342,0.04,33333.57,17141.75,50475.32,0.02,0.9040160445487685
2008-06-01,3,Ahmedabad Mercantile Co-Operative Bank Ltd.,9,9,18,0.0,2688.96,95.85,2784.8,0.0,3,16,19,0.0,1605.0,345.19,1950.19,0.0,0.700298046538351
2008-06-01,4,Allahabad Bank,690,1741,2431,0.31,1142968.63,608427.87,1751396.5,0.67,1650,932,2582,0.33,1251266.8,426556.25,1677823.06,0.65,0.9579915570232098
2008-06-01,5,American Express Bank,119,670,789,0.1,329907.37,110386.17,440293.54,0.17,362,741,1103,0.14,276119.65,87249.08,363368.73,0.14,0.8252874434632859
2008-06-01,6,Andhra Bank,1494,5428,6922,0.88,970486.17,276762.16,1247248.33,0.48,2182,1955,4137,0.53,1054256.84,93499.47,1147756.31,0.44,0.9202307851556715
2008-06-01,8,Bank Of America Na,1299,4901,6200,0.79,464215.25,651728.36,1115943.61,0.43,538,1741,2279,0.29,408508.83,826579.69,1235088.52,0.48,1.1067660667907762
2008-06-01,9,Bank Of Bahrain & Kuwait B S C,101,104,205,0.03,21113.21,3972.25,25085.46,0.01,53,300,353,0.04,14480.22,6534.39,21014.61,0.01,0.8377207354379789
2008-06-01,10,Bank Of Baroda,4064,16158,20222,2.57,1898197.24,1191135.54,3089332.79,1.19,4914,17125,22039,2.8,1829028.65,1412540.83,3241569.48,1.25,1.0492781776352427
2008-06-01,11,Bank Of Ceylon,1,7,8,0.0,125.0,2035.27,2160.27,0.0,13,88,101,0.01,537.66,1739.13,2276.79,0.0,1.0539377022316654
2008-06-01,12,Bank Of India,3946,15466,19412,2.47,1044974.06,2133501.07,3178475.13,1.22,4876,9018,13894,1.77,1059696.83,1672896.38,2732593.21,1.05,0.8597182920226278
2008-06-01,13,Bank Of Maharashtra,739,3140,3879,0.49,534885.88,370137.94,905023.82,0.35,750,2244,2994,0.38,528546.64,407939.8,936486.44,0.36,1.0347644109521892
2008-06-01,14,Bank Of Nova Scotia,481,947,1428,0.18,1692598.61,187684.17,1880282.79,0.72,440,862,1302,0.17,1539805.94,199557.18,1739363.12,0.67,0.9250540021163519
2008-06-01,15,Bank Of Rajasthan,919,3582,4501,0.57,296861.3,198765.54,495626.83,0.19,975,2082,3057,0.39,270984.11,192187.67,463171.78,0.18,0.934517164859699
2008-06-01,16,Bank Of Tokyo Mitsubishi Ufj Ltd,214,507,721,0.09,558150.83,99660.29,657811.12,0.25,210,383,593,0.08,538777.35,87532.61,626309.96,0.24,0.9521121503692427
2008-06-01,17,Barclays Bank Plc,665,721,1386,0.18,865246.37,390452.77,1255699.15,0.48,676,5436,6112,0.78,967468.39,411067.5,1378535.89,0.53,1.0978233838893656
